[run] loading refdrone 'val' subset (n=all)...
[run] 439 samples; building jetson backend (/home/jfdg/grounding/phase3-terse100eos-1024-q8_0.gguf) max_side=1024...
[run] evaluating...
  [jetson] 305/439  parsed=305  gate_hits=198
  [jetson] 306/439  parsed=306  gate_hits=198
  [jetson] 307/439  parsed=307  gate_hits=199
  [jetson] 308/439  parsed=308  gate_hits=200
  [jetson] 309/439  parsed=309  gate_hits=201
  [jetson] 310/439  parsed=310  gate_hits=202
  [jetson] 311/439  parsed=311  gate_hits=203
  [jetson] 312/439  parsed=312  gate_hits=203
  [jetson] 313/439  parsed=313  gate_hits=203
  [jetson] 314/439  parsed=314  gate_hits=204
  [jetson] 315/439  parsed=315  gate_hits=205
  [jetson] 316/439  parsed=316  gate_hits=205
  [jetson] 317/439  parsed=317  gate_hits=205
  [jetson] 318/439  parsed=318  gate_hits=206
  [jetson] 319/439  parsed=319  gate_hits=207
  [jetson] 320/439  parsed=320  gate_hits=208
  [jetson] 321/439  parsed=321  gate_hits=209
  [jetson] 322/439  parsed=322  gate_hits=209
  [jetson] 323/439  parsed=323  gate_hits=209
  [jetson] 324/439  parsed=324  gate_hits=210
  [jetson] 325/439  parsed=325  gate_hits=211
  [jetson] 326/439  parsed=326  gate_hits=211
  [jetson] 327/439  parsed=327  gate_hits=211
  [jetson] 328/439  parsed=328  gate_hits=211
  [jetson] 329/439  parsed=329  gate_hits=212
  [jetson] 330/439  parsed=330  gate_hits=213
  [jetson] 331/439  parsed=331  gate_hits=213
  [jetson] 332/439  parsed=332  gate_hits=213
  [jetson] 333/439  parsed=333  gate_hits=214
  [jetson] 334/439  parsed=334  gate_hits=215
  [jetson] 335/439  parsed=335  gate_hits=215
  [jetson] 336/439  parsed=336  gate_hits=215
  [jetson] 337/439  parsed=337  gate_hits=215
  [jetson] 338/439  parsed=338  gate_hits=216
  [jetson] 339/439  parsed=339  gate_hits=217
  [jetson] 340/439  parsed=340  gate_hits=218
  [jetson] 341/439  parsed=341  gate_hits=218
  [jetson] 342/439  parsed=342  gate_hits=219
  [jetson] 343/439  parsed=343  gate_hits=220
  [jetson] 344/439  parsed=344  gate_hits=221
  [jetson] 345/439  parsed=345  gate_hits=221
  [jetson] 346/439  parsed=346  gate_hits=221
  [jetson] 347/439  parsed=347  gate_hits=221
  [jetson] 348/439  parsed=348  gate_hits=222
  [jetson] 349/439  parsed=349  gate_hits=222
  [jetson] 350/439  parsed=350  gate_hits=223
  [jetson] 351/439  parsed=351  gate_hits=223
  [jetson] 352/439  parsed=352  gate_hits=224
  [jetson] 353/439  parsed=353  gate_hits=224
  [jetson] 354/439  parsed=354  gate_hits=225
  [jetson] 355/439  parsed=355  gate_hits=226
  [jetson] 356/439  parsed=356  gate_hits=227
  [jetson] 357/439  parsed=357  gate_hits=228
  [jetson] 358/439  parsed=358  gate_hits=229
  [jetson] 359/439  parsed=359  gate_hits=229
  [jetson] 360/439  parsed=360  gate_hits=230
  [jetson] 361/439  parsed=361  gate_hits=231
  [jetson] 362/439  parsed=362  gate_hits=231
  [jetson] 363/439  parsed=363  gate_hits=231
  [jetson] 364/439  parsed=364  gate_hits=231
  [jetson] 365/439  parsed=365  gate_hits=231
  [jetson] 366/439  parsed=366  gate_hits=232
  [jetson] 367/439  parsed=367  gate_hits=233
  [jetson] 368/439  parsed=368  gate_hits=233
  [jetson] 369/439  parsed=369  gate_hits=234
  [jetson] 370/439  parsed=370  gate_hits=234
  [jetson] 371/439  parsed=371  gate_hits=234
  [jetson] 372/439  parsed=372  gate_hits=234
  [jetson] 373/439  parsed=373  gate_hits=235
  [jetson] 374/439  parsed=374  gate_hits=236
  [jetson] 375/439  parsed=375  gate_hits=237
  [jetson] 376/439  parsed=376  gate_hits=238
  [jetson] 377/439  parsed=377  gate_hits=239
  [jetson] 378/439  parsed=378  gate_hits=240
  [jetson] 379/439  parsed=379  gate_hits=241
  [jetson] 380/439  parsed=380  gate_hits=242
  [jetson] 381/439  parsed=381  gate_hits=242
  [jetson] 382/439  parsed=382  gate_hits=243
  [jetson] 383/439  parsed=383  gate_hits=243
  [jetson] 384/439  parsed=384  gate_hits=244
  [jetson] 385/439  parsed=385  gate_hits=245
  [jetson] 386/439  parsed=386  gate_hits=246
  [jetson] 387/439  parsed=387  gate_hits=246
  [jetson] 388/439  parsed=388  gate_hits=247
  [jetson] 389/439  parsed=389  gate_hits=248
