[clip08 WARM lag4.85 j12] t_handoff=0.5192 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1191, 'drain': 0.4001}
[clip09 WARM lag0 j12] t_handoff=0.3048 steps=100/100 iou=0.1991 on_target=0.67 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1236, 'drain': 0.1811}
[clip09 WARM lag4.85 j12] t_handoff=0.5392 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.143, 'drain': 0.3962}
[clip10 WARM lag0 j12] t_handoff=0.2969 steps=100/87 iou=0.6377 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.121, 'drain': 0.1759}
[clip10 WARM lag4.85 j12] t_handoff=0.515 steps=103/62 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1256, 'drain': 0.3895}
[clip11 WARM lag0 j12] t_handoff=0.2966 steps=100/100 iou=0.7728 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1314, 'drain': 0.1652}
[clip11 WARM lag4.85 j12] t_handoff=0.5052 steps=103/93 iou=0.7657 on_target=0.9785 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1182, 'drain': 0.387}
[clip12 WARM lag0 j12] t_handoff=0.2953 steps=100/100 iou=0.7694 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1192, 'drain': 0.1761}
[clip12 WARM lag4.85 j12] t_handoff=0.5114 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1183, 'drain': 0.3931}
[clip13 WARM lag0 j12] t_handoff=0.2998 steps=100/100 iou=0.7512 on_target=0.98 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1175, 'drain': 0.1823}
[clip13 WARM lag4.85 j12] t_handoff=0.5099 steps=103/100 iou=0.5688 on_target=0.74 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1194, 'drain': 0.3906}
