06-14-2026 12:53:50 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.312C soc2@60.25C soc0@58C gpu@62.406C tj@62.406C soc1@59.593C VDD_IN 12478mW/10854mW VDD_CPU_GPU_CV 4998mW/4205mW VDD_SOC 2527mW/2243mW
06-14-2026 12:53:51 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.375C soc2@60.343C soc0@57.968C gpu@62.468C tj@62.468C soc1@59.656C VDD_IN 12478mW/10890mW VDD_CPU_GPU_CV 4998mW/4222mW VDD_SOC 2566mW/2250mW
06-14-2026 12:53:52 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.5C soc2@60.281C soc0@58.031C gpu@62.468C tj@62.468C soc1@59.718C VDD_IN 12478mW/10925mW VDD_CPU_GPU_CV 4998mW/4239mW VDD_SOC 2566mW/2257mW
06-14-2026 12:53:53 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.437C soc0@58C gpu@62.562C tj@62.562C soc1@59.718C VDD_IN 12478mW/10958mW VDD_CPU_GPU_CV 4998mW/4255mW VDD_SOC 2566mW/2264mW
06-14-2026 12:53:54 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.562C soc2@60.437C soc0@58.093C gpu@62.656C tj@62.656C soc1@59.843C VDD_IN 12478mW/10990mW VDD_CPU_GPU_CV 4998mW/4271mW VDD_SOC 2566mW/2270mW
06-14-2026 12:53:55 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.75C soc2@60.437C soc0@58.218C gpu@62.656C tj@62.656C soc1@59.812C VDD_IN 12478mW/11020mW VDD_CPU_GPU_CV 4998mW/4286mW VDD_SOC 2527mW/2275mW
06-14-2026 12:53:56 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.437C soc0@58.25C gpu@62.687C tj@62.687C soc1@59.812C VDD_IN 12478mW/11049mW VDD_CPU_GPU_CV 4998mW/4300mW VDD_SOC 2566mW/2281mW
06-14-2026 12:53:57 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.5C soc2@60.5C soc0@58.125C gpu@62.812C tj@62.812C soc1@59.875C VDD_IN 12478mW/11077mW VDD_CPU_GPU_CV 4998mW/4314mW VDD_SOC 2566mW/2287mW
06-14-2026 12:53:58 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.656C soc2@60.531C soc0@58.125C gpu@62.812C tj@62.812C soc1@59.906C VDD_IN 12478mW/11104mW VDD_CPU_GPU_CV 4998mW/4327mW VDD_SOC 2566mW/2292mW
06-14-2026 12:53:59 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.75C soc2@60.593C soc0@58.218C gpu@62.937C tj@62.937C soc1@59.968C VDD_IN 12478mW/11130mW VDD_CPU_GPU_CV 4998mW/4339mW VDD_SOC 2566mW/2297mW
06-14-2026 12:54:00 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.812C soc2@60.687C soc0@58.281C gpu@62.843C tj@62.843C soc1@60.125C VDD_IN 12478mW/11155mW VDD_CPU_GPU_CV 4998mW/4352mW VDD_SOC 2566mW/2302mW
06-14-2026 12:54:01 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.843C soc2@60.75C soc0@58.437C gpu@62.968C tj@62.968C soc1@60.187C VDD_IN 12478mW/11179mW VDD_CPU_GPU_CV 4998mW/4363mW VDD_SOC 2566mW/2307mW
