07-02-2026 09:41:08 RAM 3720/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,27%@1510,0%@1510] GR3D_FREQ 99% cpu@60.562C soc2@59.156C soc0@56.937C gpu@61.031C tj@61.031C soc1@58.843C VDD_IN 12043mW/9162mW VDD_CPU_GPU_CV 4880mW/3269mW VDD_SOC 2408mW/1952mW
07-02-2026 09:41:09 RAM 3724/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,24%@1510,0%@1510] GR3D_FREQ 99% cpu@60.5C soc2@59.125C soc0@57C gpu@61.218C tj@61.218C soc1@58.875C VDD_IN 11905mW/9239mW VDD_CPU_GPU_CV 4880mW/3314mW VDD_SOC 2369mW/1964mW
07-02-2026 09:41:10 RAM 3724/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,18%@1510,0%@1510] GR3D_FREQ 99% cpu@60.437C soc2@59.25C soc0@57.156C gpu@61.437C tj@61.531C soc1@59C VDD_IN 12043mW/9314mW VDD_CPU_GPU_CV 5077mW/3361mW VDD_SOC 2369mW/1975mW
07-02-2026 09:41:11 RAM 3726/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,25%@1510,0%@1510] GR3D_FREQ 99% cpu@60.656C soc2@59.468C soc0@57.218C gpu@61.656C tj@61.656C soc1@59.031C VDD_IN 12043mW/9386mW VDD_CPU_GPU_CV 4959mW/3403mW VDD_SOC 2408mW/1986mW
07-02-2026 09:41:12 RAM 3730/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,25%@1510,0%@1510] GR3D_FREQ 99% cpu@60.937C soc2@59.5C soc0@57.281C gpu@61.718C tj@61.718C soc1@59.093C VDD_IN 11905mW/9451mW VDD_CPU_GPU_CV 4880mW/3441mW VDD_SOC 2369mW/1996mW
07-02-2026 09:41:13 RAM 3730/7607MB (lfb 1x4MB) SWAP 256/3804MB (cached 1MB) CPU [21%@1510,11%@1510,7%@1510,12%@1510,13%@1510,5%@1510] GR3D_FREQ 98% cpu@60.843C soc2@59.656C soc0@57.375C gpu@61.75C tj@61.75C soc1@59.218C VDD_IN 12162mW/9519mW VDD_CPU_GPU_CV 5156mW/3484mW VDD_SOC 2369mW/2005mW
07-02-2026 09:41:14 RAM 3733/7607MB (lfb 1x4MB) SWAP 256/3804MB (cached 1MB) CPU [9%@1510,0%@1510,0%@1510,14%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.093C soc2@59.625C soc0@57.437C gpu@62.062C tj@62.062C soc1@59.375C VDD_IN 12083mW/9581mW VDD_CPU_GPU_CV 4998mW/3521mW VDD_SOC 2369mW/2014mW
07-02-2026 09:41:15 RAM 3737/7607MB (lfb 3x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,27%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.062C soc2@59.906C soc0@57.656C gpu@62.093C tj@62.093C soc1@59.562C VDD_IN 12004mW/9639mW VDD_CPU_GPU_CV 4998mW/3556mW VDD_SOC 2369mW/2023mW
07-02-2026 09:41:16 RAM 3739/7607MB (lfb 3x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,20%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.062C soc2@59.875C soc0@57.843C gpu@61.937C tj@61.937C soc1@59.437C VDD_IN 11925mW/9692mW VDD_CPU_GPU_CV 4920mW/3588mW VDD_SOC 2369mW/2031mW
07-02-2026 09:41:17 RAM 3739/7607MB (lfb 3x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,23%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.281C soc2@59.937C soc0@57.656C gpu@62.375C tj@62.375C soc1@59.593C VDD_IN 12083mW/9746mW VDD_CPU_GPU_CV 5077mW/3622mW VDD_SOC 2369mW/2039mW
