07-02-2026 09:43:59 RAM 6931/7607MB (lfb 2x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,26%@1510] GR3D_FREQ 99% cpu@62.218C soc2@60.843C soc0@58.562C gpu@63C tj@63C soc1@60.406C VDD_IN 12122mW/10135mW VDD_CPU_GPU_CV 5038mW/3850mW VDD_SOC 2408mW/2096mW
07-02-2026 09:44:00 RAM 6933/7607MB (lfb 1x4MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,23%@1510] GR3D_FREQ 99% cpu@62.031C soc2@60.875C soc0@58.75C gpu@63.156C tj@62.906C soc1@60.562C VDD_IN 12083mW/10188mW VDD_CPU_GPU_CV 4998mW/3881mW VDD_SOC 2408mW/2105mW
07-02-2026 09:44:01 RAM 6935/7607MB (lfb 1x4MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,24%@1510] GR3D_FREQ 99% cpu@62.218C soc2@60.937C soc0@58.687C gpu@62.875C tj@62.875C soc1@60.468C VDD_IN 11885mW/10233mW VDD_CPU_GPU_CV 4959mW/3909mW VDD_SOC 2369mW/2112mW
07-02-2026 09:44:02 RAM 6937/7607MB (lfb 1x2MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,18%@1510] GR3D_FREQ 99% cpu@62.281C soc2@61.093C soc0@58.75C gpu@63.156C tj@63.156C soc1@60.593C VDD_IN 12122mW/10281mW VDD_CPU_GPU_CV 5116mW/3940mW VDD_SOC 2369mW/2118mW
07-02-2026 09:44:03 RAM 6939/7607MB (lfb 12x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@62.343C soc2@61.156C soc0@58.781C gpu@62.968C tj@62.968C soc1@60.625C VDD_IN 12083mW/10326mW VDD_CPU_GPU_CV 4959mW/3966mW VDD_SOC 2408mW/2125mW
07-02-2026 09:44:04 RAM 6941/7607MB (lfb 11x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,5%@1510,0%@1510,0%@1510,0%@1510,23%@1510] GR3D_FREQ 99% cpu@62.718C soc2@61.25C soc0@58.906C gpu@62.968C tj@62.968C soc1@60.812C VDD_IN 11925mW/10365mW VDD_CPU_GPU_CV 4920mW/3989mW VDD_SOC 2369mW/2131mW
07-02-2026 09:44:05 RAM 6943/7607MB (lfb 9x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,18%@1510] GR3D_FREQ 99% cpu@62.343C soc2@61.218C soc0@59C gpu@63.343C tj@63.343C soc1@60.906C VDD_IN 12122mW/10407mW VDD_CPU_GPU_CV 5156mW/4017mW VDD_SOC 2369mW/2137mW
07-02-2026 09:44:06 RAM 6945/7607MB (lfb 8x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,26%@1510] GR3D_FREQ 99% cpu@62.406C soc2@61.312C soc0@59.093C gpu@63.312C tj@63.312C soc1@60.812C VDD_IN 12083mW/10446mW VDD_CPU_GPU_CV 4920mW/4038mW VDD_SOC 2408mW/2143mW
07-02-2026 09:44:07 RAM 6947/7607MB (lfb 7x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,24%@1510] GR3D_FREQ 99% cpu@62.625C soc2@61.437C soc0@59C gpu@63.343C tj@63.343C soc1@60.906C VDD_IN 11925mW/10480mW VDD_CPU_GPU_CV 4880mW/4057mW VDD_SOC 2369mW/2149mW
07-02-2026 09:44:08 RAM 6949/7607MB (lfb 6x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,17%@1510] GR3D_FREQ 99% cpu@62.718C soc2@61.468C soc0@59.187C gpu@63.468C tj@63.468C soc1@61.062C VDD_IN 12004mW/10513mW VDD_CPU_GPU_CV 5038mW/4079mW VDD_SOC 2369mW/2153mW
07-02-2026 09:44:09 RAM 6951/7607MB (lfb 5x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,25%@1510] GR3D_FREQ 99% cpu@62.812C soc2@61.593C soc0@59.218C gpu@63.593C tj@63.593C soc1@61.093C VDD_IN 12083mW/10548mW VDD_CPU_GPU_CV 4998mW/4099mW VDD_SOC 2408mW/2159mW
07-02-2026 09:44:10 RAM 6953/7607MB (lfb 4x1MB) SWAP 715/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@62.718C soc2@61.562C soc0@59.437C gpu@63.718C tj@63.718C soc1@61.156C VDD_IN 12043mW/10579mW VDD_CPU_GPU_CV 4998mW/4118mW VDD_SOC 2369mW/2163mW
07-02-2026 09:44:11 RAM 6961/7607MB (lfb 1x4MB) SWAP 709/3804MB (cached 1MB) CPU [2%@1510,2%@1510,3%@1510,0%@1510,0%@1510,19%@1510] GR3D_FREQ 94% cpu@62.875C soc2@61.718C soc0@59.406C gpu@63.75C tj@63.75C soc1@61.343C VDD_IN 11964mW/10608mW VDD_CPU_GPU_CV 4998mW/4136mW VDD_SOC 2369mW/2168mW
07-02-2026 09:44:12 RAM 6963/7607MB (lfb 3x2MB) SWAP 709/3804MB (cached 1MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,24%@1510] GR3D_FREQ 99% cpu@62.812C soc2@61.812C soc0@59.593C gpu@64C tj@64C soc1@61.281C VDD_IN 12162mW/10640mW VDD_CPU_GPU_CV 5077mW/4155mW VDD_SOC 2369mW/2172mW
07-02-2026 09:44:13 RAM 5831/7607MB (lfb 5x4MB) SWAP 621/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,90%@1510] GR3D_FREQ 0% cpu@62.781C soc2@61.406C soc0@59.406C gpu@62.625C tj@62.781C soc1@61.281C VDD_IN 6813mW/10563mW VDD_CPU_GPU_CV 1779mW/4108mW VDD_SOC 1621mW/2161mW
07-02-2026 09:44:14 RAM 5044/7607MB (lfb 7x4MB) SWAP 516/3804MB (cached 1MB) CPU [47%@1510,2%@1510,9%@1510,17%@1510,0%@1510,9%@1510] GR3D_FREQ 0% cpu@62.843C soc2@61.343C soc0@59.187C gpu@62.531C tj@62.843C soc1@61.281C VDD_IN 6100mW/10476mW VDD_CPU_GPU_CV 1423mW/4055mW VDD_SOC 1502mW/2148mW
