t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
5.758,0.00,0.00,-10.00,14.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.808,0.00,0.00,-10.00,14.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.858,0.00,0.00,-10.00,14.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.908,0.00,0.00,-10.00,14.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.958,0.00,0.00,-10.00,14.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.008,0.00,0.00,-10.00,15.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.058,0.00,0.00,-10.00,15.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.108,0.00,0.00,-10.00,15.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.158,0.00,0.00,-10.00,15.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.209,0.00,0.00,-10.00,15.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.259,0.00,0.00,-10.00,15.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.309,0.00,0.00,-10.00,15.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.359,0.00,0.00,-10.00,15.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.409,0.00,0.00,-10.00,15.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.459,0.00,0.00,-10.00,15.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.509,0.00,0.00,-10.00,16.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.3
6.559,0.00,0.00,-10.00,16.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.609,0.00,0.00,-10.00,16.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.660,0.00,0.00,-10.00,16.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.3
6.710,0.00,0.00,-10.00,16.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.760,0.00,0.00,-10.00,16.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.810,0.00,0.00,-10.00,16.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.860,0.00,0.00,-10.00,16.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.910,0.00,0.00,-10.00,16.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
6.960,0.00,0.00,-10.00,16.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.010,0.00,0.00,-10.00,17.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.060,0.00,0.00,-10.00,17.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.110,0.00,0.00,-10.00,17.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.160,0.00,0.00,-10.00,17.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.210,0.00,0.00,-10.00,17.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.260,0.00,0.00,-10.00,17.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.311,0.00,0.00,-10.00,17.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.361,0.00,0.00,-10.00,17.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.411,0.00,0.00,-10.00,17.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.461,0.00,0.00,-10.00,17.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.511,0.00,0.00,-10.00,18.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.561,0.00,0.00,-10.00,18.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.611,0.00,0.00,-10.00,18.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.661,0.00,0.00,-10.00,18.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.711,0.00,0.00,-10.00,18.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.761,0.00,0.00,-10.00,18.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.811,0.00,0.00,-10.00,18.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.861,0.00,0.00,-10.00,18.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.911,0.00,0.00,-10.00,18.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
7.962,0.00,0.00,-10.00,18.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.012,0.00,0.00,-10.00,19.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.062,0.00,0.00,-10.00,19.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.112,0.00,0.00,-10.00,19.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.162,0.00,0.00,-10.00,19.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.212,0.00,0.00,-10.00,19.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.262,0.00,0.00,-10.00,19.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.312,0.00,0.00,-10.00,19.62,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.362,0.00,0.00,-10.00,19.72,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
8.412,0.00,0.00,-10.00,19.82,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
