06-13-2026 14:17:32 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.093C soc2@62.062C soc0@59.687C gpu@64.281C tj@64.281C soc1@61.25C VDD_IN 12517mW/11966mW VDD_CPU_GPU_CV 4951mW/4646mW VDD_SOC 2601mW/2488mW
06-13-2026 14:17:33 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.156C soc2@62C soc0@59.75C gpu@64.187C tj@64.187C soc1@61.375C VDD_IN 12557mW/11977mW VDD_CPU_GPU_CV 4951mW/4651mW VDD_SOC 2601mW/2490mW
06-13-2026 14:17:33 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@63.25C soc2@62.062C soc0@59.656C gpu@64.187C tj@64.187C soc1@61.343C VDD_IN 12517mW/11986mW VDD_CPU_GPU_CV 4951mW/4656mW VDD_SOC 2601mW/2492mW
06-13-2026 14:17:34 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.125C soc2@62.125C soc0@59.781C gpu@64.093C tj@64.093C soc1@61.375C VDD_IN 12517mW/11995mW VDD_CPU_GPU_CV 4951mW/4661mW VDD_SOC 2601mW/2494mW
06-13-2026 14:17:34 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.281C soc2@62.031C soc0@59.75C gpu@64.437C tj@64.437C soc1@61.343C VDD_IN 12557mW/12004mW VDD_CPU_GPU_CV 4951mW/4666mW VDD_SOC 2601mW/2496mW
06-13-2026 14:17:35 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@63.25C soc2@62.25C soc0@59.875C gpu@64.25C tj@64.25C soc1@61.531C VDD_IN 12557mW/12013mW VDD_CPU_GPU_CV 4951mW/4671mW VDD_SOC 2601mW/2497mW
06-13-2026 14:17:35 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.218C soc2@62.156C soc0@59.843C gpu@64.218C tj@64.437C soc1@61.562C VDD_IN 12517mW/12021mW VDD_CPU_GPU_CV 4951mW/4675mW VDD_SOC 2601mW/2499mW
06-13-2026 14:17:36 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.312C soc2@62.218C soc0@59.812C gpu@64.343C tj@64.343C soc1@61.375C VDD_IN 12517mW/12029mW VDD_CPU_GPU_CV 4951mW/4680mW VDD_SOC 2601mW/2501mW
06-13-2026 14:17:36 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.281C soc2@62.156C soc0@59.937C gpu@64.312C tj@64.312C soc1@61.437C VDD_IN 12557mW/12038mW VDD_CPU_GPU_CV 4951mW/4684mW VDD_SOC 2601mW/2502mW
06-13-2026 14:17:37 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.406C soc2@62.281C soc0@59.906C gpu@64.25C tj@64.25C soc1@61.406C VDD_IN 12517mW/12045mW VDD_CPU_GPU_CV 4951mW/4688mW VDD_SOC 2601mW/2504mW
