seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
uav0000288_00001_v,29,300,300,0.1074438544965584,0.23,0.02666666666666667,0.23333333333333334,0.0,0,0,21.66,13.85
uav0000289_00001_v,25,300,286,0.6943202530377548,0.916083916083916,0.8426573426573427,1.0,0.08391608391608392,2,1,21.37,14.04
uav0000289_00001_v,61,300,300,0.4397411418555769,0.9033333333333333,0.3933333333333333,1.0,0.0,0,0,21.05,14.25
uav0000289_06922_v,73,196,161,0.38541838942995243,0.6956521739130435,0.484472049689441,1.0,0.30434782608695654,1,0,14.54,13.48
uav0000289_06922_v,40,179,142,0.3888709911658697,0.5,0.4788732394366197,1.0,0.5,1,0,13.16,13.6
uav0000295_02300_v,407,300,300,0.8205808048604496,1.0,1.0,1.0,0.0,0,0,22.23,13.49
uav0000295_02300_v,509,300,288,0.2708575377417137,0.40625,0.28125,0.9090909090909091,0.0,1,0,22.09,13.58
uav0000297_00000_v,1,146,146,0.750382804937476,1.0,0.9794520547945206,1.0,0.0,0,0,10.72,13.62
uav0000297_00000_v,189,146,115,0.6690169361461175,0.8434782608695652,0.8260869565217391,0.8918918918918919,0.034782608695652174,1,0,10.65,13.71
uav0000297_02761_v,33,300,300,0.6349170465804092,1.0,0.9466666666666667,1.0,0.0,0,0,22.1,13.57
uav0000297_02761_v,113,300,216,0.8142918993740201,1.0,0.9722222222222222,1.0,0.0,1,0,21.85,13.73
uav0000300_00000_v,33,300,300,0.5643007174225528,0.9466666666666667,0.8,0.46779661016949153,0.0,0,0,22.25,13.48
uav0000300_00000_v,125,300,296,0.37846692997105397,0.625,0.48986486486486486,0.8130434782608695,0.2195945945945946,1,0,21.89,13.7
uav0000305_00000_v,21,184,184,0.6546345016037808,0.8478260869565217,0.8043478260869565,1.0,0.0,0,0,13.33,13.81
uav0000305_00000_v,69,184,177,0.7425569230828466,0.9943502824858758,0.9943502824858758,1.0,0.0,1,0,13.23,13.91
